start_id,step_id,pose_x,pose_y,selected_candidate_id,selected_x,selected_y,information_gain,score,newly_known_cells,failure,known_free,occupied,unknown,known_ratio
6,7,1.1509,-2.2076,10,-0.1481,-1.4576,88,85.0,88,,897,128,592,0.6338899196042053
6,8,-0.1481,-1.4576,15,-1.2088,-2.5183,37,34.0,37,,927,135,555,0.6567717996289425
6,9,-1.2088,-2.5183,13,-2.6577,-2.9065,144,141.0,144,,1067,139,411,0.7458256029684601
6,10,-2.6577,-2.9065,9,-3.7184,-1.8458,122,119.0,122,,1170,158,289,0.821273964131107
6,11,-3.7184,-1.8458,6,-3.7184,-0.3458,101,98.0,101,,1260,169,188,0.8837353123067409
6,12,-3.7184,-0.3458,6,-3.7184,1.1542,102,99.0,102,,1353,178,86,0.9468150896722325
6,13,-3.7184,1.1542,7,-4.1066,2.6031,30,27.0,30,,1365,196,56,0.9653679653679653
6,14,-4.1066,2.6031,23,-2.6577,2.2149,7,4.0,7,,1365,203,49,0.9696969696969697
6,15,-2.6577,2.2149,3,-1.597,3.2756,12,9.0,12,,1376,204,37,0.9771181199752629
7,0,3.0,-2.7,12,1.5,-2.7,145,142.0,145,,347,26,1244,0.23067408781694496
7,1,1.5,-2.7,9,0.4393,-1.6393,130,127.0,130,,454,49,1114,0.3110698824984539
7,2,0.4393,-1.6393,6,0.4393,-0.1393,54,51.0,54,,495,62,1060,0.34446505875077305
7,3,0.4393,-0.1393,4,1.1893,1.1597,66,63.0,66,,559,64,994,0.3852813852813853
7,4,1.1893,1.1597,0,2.6893,1.1597,207,204.0,207,,762,68,787,0.5132962275819418
7,5,2.6893,1.1597,1,4.1382,1.5479,89,86.0,89,,824,95,698,0.5683364254792826
7,6,4.1382,1.5479,18,4.1382,0.0479,15,12.0,15,,833,101,683,0.577612863327149
7,7,4.1382,0.0479,19,4.5264,-1.401,15,12.0,15,,836,113,668,0.5868893011750155
7,8,4.5264,-1.401,19,4.9146,-2.8499,4,1.0,4,,836,117,664,0.5893630179344465
7,9,4.9146,-2.8499,,,,0,0,0,no_positive_gain_candidate,836,117,664,0.5893630179344465
8,0,4.4,0.0,18,4.4,-1.5,110,107.0,110,,355,51,1211,0.2510822510822511
8,1,4.4,-1.5,14,3.101,-2.25,57,54.0,57,,400,63,1154,0.28633271490414347
8,2,3.101,-2.25,14,1.802,-3.0,118,115.0,118,,514,67,1036,0.3593073593073593
8,3,1.802,-3.0,9,0.7413,-1.9393,133,130.0,133,,635,79,903,0.44155844155844154
8,4,0.7413,-1.9393,7,0.3531,-0.4904,70,67.0,70,,688,96,833,0.48484848484848486
8,5,0.3531,-0.4904,4,1.1031,0.8086,49,46.0,49,,735,98,784,0.5151515151515151
8,6,1.1031,0.8086,7,0.7149,2.2575,125,122.0,125,,836,122,659,0.5924551638837353
8,7,0.7149,2.2575,10,-0.5841,3.0075,46,43.0,46,,875,129,613,0.6209029066171924
8,8,-0.5841,3.0075,13,-2.033,2.6193,119,116.0,119,,986,137,494,0.6944959802102659
8,9,-2.033,2.6193,14,-3.332,1.8693,136,133.0,136,,1111,148,358,0.7786023500309215
8,10,-3.332,1.8693,17,-3.7202,0.4204,102,99.0,102,,1204,157,256,0.8416821273964131
8,11,-3.7202,0.4204,18,-3.7202,-1.0796,99,96.0,99,,1297,163,157,0.9029066171923315
8,12,-3.7202,-1.0796,17,-4.1084,-2.5285,39,36.0,39,,1316,183,118,0.9270253555967841
8,13,-4.1084,-2.5285,0,-2.6084,-2.5285,5,2.0,5,,1317,187,113,0.930117501546073
8,14,-2.6084,-2.5285,11,-4.0573,-2.1403,1,-2.0,1,,1317,188,112,0.9307359307359307
8,15,-4.0573,-2.1403,,,,0,0,0,no_positive_gain_candidate,1317,188,112,0.9307359307359307
9,0,4.6,2.6,17,4.2118,1.1511,99,96.0,99,,307,50,1260,0.22077922077922077
9,1,4.2118,1.1511,19,4.6,-0.2978,65,62.0,65,,365,57,1195,0.26097711811997526
9,2,4.6,-0.2978,17,4.2118,-1.7467,110,107.0,110,,450,82,1085,0.329004329004329
9,3,4.2118,-1.7467,14,2.9128,-2.4967,47,44.0,47,,489,90,1038,0.3580705009276438
9,4,2.9128,-2.4967,13,1.4639,-2.8849,141,138.0,141,,626,94,897,0.4452690166975881
9,5,1.4639,-2.8849,9,0.4032,-1.8242,122,119.0,122,,733,109,775,0.520717377860235
9,6,0.4032,-1.8242,7,0.015,-0.3753,59,56.0,59,,779,122,716,0.557204700061843
9,7,0.015,-0.3753,10,-1.284,0.3747,47,44.0,43,,822,122,673,0.5837971552257266
9,8,-1.284,0.3747,5,-0.8958,1.8236,117,114.0,117,,921,140,556,0.6561533704390847
9,9,-0.8958,1.8236,9,-1.9565,2.8843,106,103.0,106,,1024,143,450,0.7217068645640075
9,10,-1.9565,2.8843,14,-3.2555,2.1343,131,128.0,131,,1143,155,319,0.8027210884353742
9,11,-3.2555,2.1343,17,-3.6437,0.6854,104,101.0,104,,1237,165,215,0.8670377241805813
9,12,-3.6437,0.6854,17,-4.0319,-0.7635,98,95.0,98,,1327,173,117,0.9276437847866419
9,13,-4.0319,-0.7635,18,-4.0319,-2.2635,55,52.0,55,,1361,194,62,0.9616573902288188
9,14,-4.0319,-2.2635,0,-2.5319,-2.2635,2,-1.0,2,,1361,196,60,0.9628942486085343
9,15,-2.5319,-2.2635,,,,0,0,0,no_positive_gain_candidate,1361,196,60,0.9628942486085343
